CUENCA;LABEL;START_NODE;STOP_NODE;STARTPNT_X;STARTPNT_Y;ENDPNT_X;ENDPNT_Y;ORIGEN_DATO;MAXIMA_CAP;DIAMETRO;CAUDAL_MAX;REL_MAXCAP_CAUDALMAX;COTA_INV_INICIO;COTA_INV_FIN;SUMERGIDO1;SUMERGIDO2;IS_ACTIVE;LONGITUD;MATERIAL;TIPO_AGUA;TIPO_RED;ESTADO;PENDIENTE;CONDICION;COLECTOR;CRUCE;D_INT_PROY;text
LA MINA;9726379;9726376;6064168;-75.6038754127;6.1616994614;-75.6038755119;6.1617603940;null;0;0;-1;-1;0.00;0.00;0;0;False;6.70;PVC;COMBINADAS;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :6.7<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9742385;9742618;9742621;-75.6025948597;6.1564948455;-75.6025758046;6.1565565030;null;0;0;-1;-1;0.00;0.00;0;0;False;7.10;PVC;COMBINADAS;SECUNDARIA;DISENO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :7.1<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;6063225;6063057;6063058;-75.6014494590;6.1589205655;-75.6015142591;6.1589132114;null;0;0;-1;-1;0.00;0.00;0;0;False;7.20;Concrete;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :7.2<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9742391;9742623;9742626;-75.6025580105;6.1565796484;-75.6026068801;6.1566243952;null;0;0;-1;-1;0.00;0.00;0;0;False;7.30;PVC;COMBINADAS;SECUNDARIA;DISENO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :7.3<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;8617899;8617859;8617860;-75.6039994752;6.1576704004;-75.6040481016;6.1577176329;null;0;0;-1;-1;0.00;0.00;0;0;False;7.50;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :7.5<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9222942;9222851;9222925;-75.6071113172;6.1588676622;-75.6071182768;6.1589353741;null;0;0;-1;-1;0.00;0.00;0;0;False;7.50;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :7.5<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;6064043;6064041;6064042;-75.6046430954;6.1615434051;-75.6046888428;6.1615959174;null;0;0;-1;-1;0.00;0.00;0;0;False;7.70;Concrete;COMBINADAS;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :7.7<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9084571;9084558;9084559;-75.6027050308;6.1563036698;-75.6027614361;6.1562580373;null;0;0;-1;-1;0.00;0.00;0;0;False;8.00;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :8<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9067181;9067166;9067171;-75.6031596807;6.1564545369;-75.6032319438;6.1564494422;null;0;0;-1;-1;0.00;0.00;0;0;False;8.00;PVC;RESIDUALES;SECUNDARIA;RETIRADO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :8<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;6063570;MH-95;6063318;-75.6056191651;6.1603268173;-75.6056670075;6.1603822327;null;0;0;-1;-1;0.00;0.00;0;0;False;8.10;Concrete;COMBINADAS;SECUNDARIA;RETIRADO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :8.1<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9524811;9524802;9524803;-75.6050921954;6.1572214562;-75.6051538927;6.1572670162;null;0;0;-1;-1;0.00;0.00;0;0;False;8.50;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :8.5<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;8617889;8617849;9067177;-75.6034618802;6.1562023779;-75.6035221955;6.1562502699;null;0;0;-1;-1;0.00;0.00;0;0;False;8.50;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :8.5<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;8617891;8617851;8617852;-75.6037191879;6.1563561467;-75.6037821498;6.1564104223;null;0;0;-1;-1;0.00;0.00;0;0;False;9.20;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :9.2<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;6064362;6064054;6064053;-75.6050570671;6.1625218946;-75.6051025156;6.1625937452;null;0;0;-1;-1;0.00;0.00;0;0;False;9.40;Concrete;LLUVIAS;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :9.4<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9742367;9742604;9742607;-75.6025012144;6.1568740094;-75.6025646203;6.1568165076;null;0;0;-1;-1;0.00;0.00;0;0;False;9.50;PVC;COMBINADAS;SECUNDARIA;DISENO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :9.5<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;6063498;6063430;6063431;-75.6070799077;6.1611202795;-75.6071501777;6.1611707830;null;0;0;-1;-1;0.00;0.00;0;0;False;9.60;Concrete;LLUVIAS;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :9.6<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9084573;9084559;9084560;-75.6027614361;6.1562580373;-75.6028162924;6.1561907502;null;0;0;-1;-1;0.00;0.00;0;0;False;9.60;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :9.6<br>Pendiente  :0<br>Diam. interno proyectado mm :0
